タイトル,タイトルリンク,gallery_area,thumb,thumb1,address,fa_address_access_inner,口コミ,btn_map,js_cm_readmore,写真,動画,fa_address_access_inner1,budget,all_count_num,link_arw01,all_count_num1,all_count_num2,詳細タイトル,フィールド1,フィールド2,Unnamed: 21,緯度,経度,住所,ラーメンの種類
大砲ラーメン　合川店,https://www.cookdoor.jp/dtl/60000000000000001281/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/8/2/60000000000000001281/0000038036/60000000000000001281_0000038036_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/8/2/60000000000000001281/0000047283/60000000000000001281_0000047283_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/8/2/60000000000000001281/0000038036/60000000000000001281_0000038036_3_s.jpg,〒839-0865 福岡県久留米市新合川1-4-43,西鉄甘木線「五郎丸駅」から「大砲ラーメン　合川店」まで 徒歩14分,173件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%ba%94%e9%83%8e%e4%b8%b8%e9%a7%85+%e3%80%92839-0802&destination=33.3199979924911,130.539876105463&travelmode=walking","1953年（昭和28年）創業の久留米ラーメンの老舗である大砲ラーメンは「呼び戻しスープ」発祥の店として知られています。スープの特徴は長年継ぎ足しながら煮込み続けることで、深いコクと旨味を生み出しています。看板メニューの「昔ラーメン」は、1953年創業当時の味を再現した一杯です。濃厚な豚骨スープに細麺を合わせ、チャーシューやネギをトッピングした一杯で、長年多くのファンに愛され続けています。
大砲ラーメンの人気メニューは、創業以来の伝統と特徴的な「呼び戻しスープ」を楽しめるラインナップが中心です。特におすすめのチャーシューメンは、濃厚なスープとたっぷりのチャーシューが楽しめる贅沢な一杯で、チャーシュー好きにはたまらないボリューム感となっています。ワンタンメンは、昔ラーメンにワンタンをトッピングした人気のアレンジメニューです。プリッとした食感のワンタンがスープと相性抜群です。ネギラーメンは、昔ラーメンにたっぷりの刻みネギを追加したメニューです。ネギの香りとシャキシャキ感がスープの濃厚さを引き立てます。さらに、焼き飯セットもあり、昔ラーメンと特製焼き飯のセットメニューは、スープの濃厚さに焼き飯の香ばしさが絶妙にマッチします。また、餃子セットもあり、ラーメンとサイドメニューの餃子を組み合わせた人気セットです。パリッとした皮とジューシーな餡が評判です。小さめサイズのラーメンとジュースがセットになったお子様ラーメンといった、家族連れにも嬉しい一品もあるので、大人のみならず、幅広く愛されるラーメン店です。
本店は福岡県久留米市に位置し、他にも福岡市や大分、佐賀などに店舗を展開しており、地元のみならず九州では一度は名前を聞いたことがある人気のラーメン店です。…",216枚,20本,九州自動車道「久留米IC」から「大砲ラーメン　合川店」まで 1.4km,500円〜,,,,,大砲ラーメン　合川店,11：00〜26：00,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E7%A6%8F%E5%B2%A1%E7%9C%8C%E4%B9%85%E7%95%99%E7%B1%B3%E5%B8%82%E6%96%B0%E5%90%88%E5%B7%9D1-4-43,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 福岡県久留米市新合川1-4-43</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 福岡県久留米市新合川1-4-43</converted>
<candidate>
<address>福岡県/久留米市/新合川/一丁目/４/４３号</address>
<longitude>130.539810</longitude>
<latitude>33.319843</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",33.319843,130.53981, 福岡県久留米市新合川1-4-43,豚骨ラーメン
丸源ラーメン　二条大路店,https://www.cookdoor.jp/dtl/60000000000000011317/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/1/3/60000000000000011317/0000062847/60000000000000011317_0000062847_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/1/3/60000000000000011317/0000063497/60000000000000011317_0000063497_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/1/3/60000000000000011317/0000002922/60000000000000011317_0000002922_1_s.jpg,〒630-8012 奈良県奈良市二条大路南4丁目1-21,近鉄橿原線「尼ケ辻駅」から「丸源ラーメン　二条大…」まで 徒歩10分,96件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%b0%bc%e3%82%b1%e8%be%bb%e9%a7%85+%e3%80%92630-8024&destination=34.6846812594345,135.791645722647&travelmode=walking","奈良市、県道1号線　阪奈道路と奈良県庁を結ぶ道路沿い、二条大路付近にありますよ。
丸源ラーメンさんは、20種類以上の食材を使った熟成醤油がえしで、旨みと香りが良く、スープをゴクゴクといただけます。定番の肉そばに、赤、白、黒と様々な種類のスープがあり、それぞれ絶妙に麺と絡み大変美味しいです。最近は糖質オフ麺もあります。おすすめします。…",226枚,17本,京奈和自動車道「木津IC」から「丸源ラーメン　二条大…」まで 4.3km,〜￥999,"7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　二条大路店,11：30〜翌1：00,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A5%88%E8%89%AF%E5%B8%82%E4%BA%8C%E6%9D%A1%E5%A4%A7%E8%B7%AF%E5%8D%974%E4%B8%81%E7%9B%AE1-21,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 奈良県奈良市二条大路南4丁目1-21</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 奈良県奈良市二条大路南4丁目1-21</converted>
<candidate>
<address>奈良県/奈良市/二条大路南/四丁目/１番/２１号</address>
<longitude>135.791855</longitude>
<latitude>34.684536</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",34.684536,135.791855, 奈良県奈良市二条大路南4丁目1-21,醤油ラーメン
天下一品　岡崎店,https://www.cookdoor.jp/dtl/00000000000080002514/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/1/5/00000000000080002514/0000000551/00000000000080002514_0000000551_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/1/5/00000000000080002514/0000052756/00000000000080002514_0000052756_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/1/5/00000000000080002514/0000000551/00000000000080002514_0000000551_3_s.jpg,〒444-2137 愛知県岡崎市薮田１丁目３－１０,愛知環状鉄道「大門駅」から「天下一品　岡崎店」まで 徒歩14分,93件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%a4%a7%e9%96%80%e9%a7%85+%e3%80%92444-2134&destination=34.9889526844034,137.163924689859&travelmode=walking","今回はランチで天下一品に来ました。
久しぶりにこってりの味を食べたくなって来店。しっかりと味わいました！
今回は贅沢にカツ丼のセットにしましたが、こちらもとても美味しかったのでおすすめです！…",224枚,18本,伊勢湾岸自動車道「豊田東IC」から「天下一品　岡崎店」まで 4.6km,500円〜2000円,"6,768件",天下一品 206店舗,"10,565枚",946本,天下一品　岡崎店,11:00〜翌1:00(金･土･祝前日 翌3:00まで),http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%B2%A1%E5%B4%8E%E5%B8%82%E8%96%AE%E7%94%B0%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%90,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県岡崎市薮田１丁目３−１０</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県岡崎市薮田１丁目３−</converted>
<candidate>
<address>愛知県/岡崎市/薮田/一丁目/３番</address>
<longitude>137.164078</longitude>
<latitude>34.988918</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.988918,137.164078, 愛知県岡崎市薮田１丁目３－１０,不明
下町の空　名北店,https://www.cookdoor.jp/dtl/60000000000000008663/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/6/60000000000000008663/0000067492/60000000000000008663_0000067492_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/6/60000000000000008663/0000056242/60000000000000008663_0000056242_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/6/60000000000000008663/0000065397/60000000000000008663_0000065397_1_s.jpg,〒462-0063 愛知県名古屋市北区丸新町１２６,東海交通事業城北線「比良駅」から「下町の空　名北店」まで 徒歩10分,108件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%af%94%e8%89%af%e9%a7%85+%e3%80%92452-0802&destination=35.2313850990593,136.910170989538&travelmode=walking","美味しい餃子と炒飯が食べたくなり、「下町の空　名北店」へ行ってきました。お店の住所は「愛知県名古屋市北区丸新町１２６」です。駅からお店までのアクセスは、東海交通事業城北線「比良駅」から徒歩約13分、距離にして約990mほどです。お店の雰囲気は居酒屋に近いと思いました。
営業時間は[月〜金]11:00〜15:00 17:00〜22:00[土・日]11:00〜22:00です。
メニューは「とんこくラーメン」「醤油ラーメン」「味噌ラーメン」「台湾ラーメン」「チャーハン」「オムチャーハン」「台湾チャーハン」「特製肉餃子」「小籠包餃子」「七色餃子」などがありました。「とんこくラーメン」「オムチャーハン」「特製肉餃子」です。「とんこくラーメン」は味がさっぱりめではありますが、コクはあって美味しかったです。「特製肉餃子」は肉汁たっぷりジャージーでした。「オムチャーハン」は玉子がふわふわで美味しかったです。また行きたいです。…",216枚,23本,名古屋高速1号楠線「楠出入口（IC）」から「下町の空　名北店」まで 660m,〜999円,,,,,下町の空　名北店,"11：00〜15：30
17：00〜25：00",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%B8%E6%96%B0%E7%94%BA%EF%BC%91%EF%BC%92%EF%BC%96,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市北区丸新町１２６</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市北区丸新町１２６</converted>
<candidate>
<address>愛知県/名古屋市/北区/丸新/１２６番地</address>
<longitude>136.910172</longitude>
<latitude>35.231335</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.231335,136.910172, 愛知県名古屋市北区丸新町１２６,味噌ラーメン
丸源ラーメン　大府店,https://www.cookdoor.jp/dtl/60000000000000004952/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/5/9/60000000000000004952/0000000518/60000000000000004952_0000000518_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/5/9/60000000000000004952/0000001368/60000000000000004952_0000001368_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/2/5/9/60000000000000004952/0000001117/60000000000000004952_0000001117_4_s.jpg,〒474-0056 愛知県大府市明成町4丁目160番地２,ＪＲ東海道本線「共和駅」から「丸源ラーメン　大府店」まで 徒歩20分,85件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%85%b1%e5%92%8c%e9%a7%85+%e3%80%92474-0074&destination=35.0210994430779,136.952571317867&travelmode=walking","ランチタイムに利用しました。
入店した時の挨拶や席への案内など、店員の方の接客サービスがとても丁寧で好感が持てました。社内教育がしっかりとされているのだと感じました。
ランチタイム限定でお得なセットメニューが用意されていて、温玉ごはんや餃子セット、チャーハンセット、唐揚げセットがラインナップされています。
今回は、担々麺に温玉ご飯のセットをオーダーしました。
ラーメンが出来上がる前に温玉ご飯がすぐに運ばれてきました。温玉ご飯は、ライスの上に温泉たまごとノリが乗せられており、特製の甘辛いタレがかけられていました。ご飯と温泉たまごを混ぜ合わせて、ノリで包んでたべたらとても美味しかったです。

温玉ご飯を食べているとラーメンも運ばれてきました。担々麺は、見た目ほどに辛味は少なく、子供さんや辛いのが苦手な方でも食べらるレベルだと思います。シャキシャキとした食感の白髪ネギと胡麻の風味がしっかりと効いたスープの相性が良く、本格的な味わいの担々麺でした。
…",214枚,23本,知多半島道路「大府西IC」から「丸源ラーメン　大府店」まで 2.9km,1000円,"7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　大府店,11:00〜24:00,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%A4%A7%E5%BA%9C%E5%B8%82%E6%98%8E%E6%88%90%E7%94%BA4%E4%B8%81%E7%9B%AE160%E7%95%AA%E5%9C%B0%EF%BC%92,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県大府市明成町4丁目160番地２</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県大府市明成町4丁目160番地</converted>
<candidate>
<address>愛知県/大府市/明成町/四丁目/１６０番地</address>
<longitude>136.951401</longitude>
<latitude>35.021175</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.021175,136.951401, 愛知県大府市明成町4丁目160番地２,不明
らーめん本郷亭　長久手店,https://www.cookdoor.jp/dtl/60000000000000007539/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/3/5/60000000000000007539/0000021294/60000000000000007539_0000021294_6_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/3/5/60000000000000007539/0000002019/60000000000000007539_0000002019_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/3/5/60000000000000007539/0000001217/60000000000000007539_0000001217_3_s.jpg,〒480-1143 愛知県長久手市井堀１１２,愛知高速交通リニモ「杁ケ池公園駅」から「らーめん本郷亭　長久…」まで 徒歩12分,125件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%9d%81%e3%82%b1%e6%b1%a0%e5%85%ac%e5%9c%92%e9%a7%85+%e3%80%92480-1124&destination=35.171259683046,137.02706488352&travelmode=walking",仕事帰り夜9時頃にらーめん本郷亭　長久手店さんへ行って来ました。駐車場が広くて停めやすかったです。店内に入ると元気な店員さんの声とお洒落な室内に迎えられました。券売機でおすすめを聞いたら白湯らーめんだったので迷わず注文しました。とても美味しかったです。また行きたいですよろしく…,207枚,26本,東名高速道路「名古屋IC」から「らーめん本郷亭　長久…」まで 760m,"通常平均1,000円、ランチ平均900円",,,,,らーめん本郷亭　長久手店,"月〜日
ランチ　11:30〜14:30
月〜金
ディナー　18:00〜22:30
土・日・祝日
ディナー　17:00〜22:30",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E9%95%B7%E4%B9%85%E6%89%8B%E5%B8%82%E4%BA%95%E5%A0%80%EF%BC%91%EF%BC%91%EF%BC%92,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県長久手市井堀１１２</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県長久手市井堀１１２</converted>
<candidate>
<address>愛知県/長久手市/井堀/１１２番地</address>
<longitude>137.028397</longitude>
<latitude>35.174019</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.174019,137.028397, 愛知県長久手市井堀１１２,豚骨ラーメン
一蘭　東大宮店,https://www.cookdoor.jp/dtl/00000000000080005263/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/2/00000000000080005263/0000001820/00000000000080005263_0000001820_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/2/00000000000080005263/0000001820/00000000000080005263_0000001820_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/2/00000000000080005263/0000001820/00000000000080005263_0000001820_5_s.jpg,〒337-0001 埼玉県さいたま市見沼区大字丸ヶ崎１０５９－１,ＪＲ湘南新宿ライン「東大宮駅」から「一蘭　東大宮店」まで 徒歩21分,133件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%9d%b1%e5%a4%a7%e5%ae%ae%e9%a7%85+%e3%80%92337-0051&destination=35.9587868928745,139.654181551908&travelmode=walking","一蘭東大宮店に行ってきましたが、もう最高でした！！
まず、店内に入った瞬間から、独特の雰囲気に包まれていて、ラーメンに集中できるように工夫されているのが感じられ、カウンター席が一人一人区切られていて、まるで自分だけの空間でラーメンを楽しめる感じが良かったです！
注文は券売機で簡単にできて、好みの味や麺の硬さを細かく指定できるのが嬉しいポイント。私はスープの濃さを普通、麺の硬さを固めにしてみましたが、これが大正解！スープは濃厚でコクがあり、豚骨の旨味がしっかりと感じられて、麺も歯ごたえがあって美味しかったです。
特に感動したのは、秘伝のタレ。これを少しずつスープに溶かしながら食べると、味がどんどん変わっていって、最後まで飽きずに楽しめました！替え玉も頼んでみたんだけど、これがまた美味しくて、ついついお腹いっぱいになるまで食べちゃいました。
サービスも素晴らしくて、スタッフの皆さんがとても親切でした。オーダーを取る時も笑顔で対応してくれて、料理が出てくるのもスムーズで待ち時間が少なかったのが良かったです。特に、子供連れの家族も多く見かけましたが、子供用のメニューも充実していて、家族みんなで楽しめる感じが伝わってきました。
デザートも楽しみにしていたんですが、ここも大満足。マンゴープリンを頼んだのですが、甘さ控えめで、マンゴーの風味がしっかりと感じられる一品でした！友達は杏仁豆腐を頼んだんだけど、こちらも滑らかで美味しかったと言っていました。
総じて、一蘭東大宮店は料理のクオリティも高く、スタッフのサービスも素晴らしく、また行きたいと思わせてくれるお店でした。家族や友達と一緒に行くのにぴったりな場所だと思うので、まだ行ったことがない人にはぜひおすすめしたいです。…",207枚,25本,東北自動車道「岩槻IC」から「一蘭　東大宮店」まで 3.8km,〜999円,"5,193件",一蘭 58店舗,"5,587枚",548本,一蘭　東大宮店,0:00〜23:59,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A6%8B%E6%B2%BC%E5%8C%BA%E5%A4%A7%E5%AD%97%E4%B8%B8%E3%83%B6%E5%B4%8E%EF%BC%91%EF%BC%90%EF%BC%95%EF%BC%99%EF%BC%8D%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 埼玉県さいたま市見沼区大字丸ヶ崎１０５９−１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 埼玉県さいたま市見沼区大字丸ヶ崎１０５９−</converted>
<candidate>
<address>埼玉県/さいたま市/見沼区/丸ヶ崎/１０５９番地</address>
<longitude>139.654724</longitude>
<latitude>35.958477</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.958477,139.654724, 埼玉県さいたま市見沼区大字丸ヶ崎１０５９－１,豚骨ラーメン
一刻魁堂　清須店,https://www.cookdoor.jp/dtl/1060048487/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/8/4/1060048487/0000016855/1060048487_0000016855_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/8/4/1060048487/0000016855/1060048487_0000016855_5_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/7/8/4/1060048487/0000067492/1060048487_0000067492_2_s.jpg,〒452-0931 愛知県清須市一場御園７８４－２,ＪＲ東海道本線「清洲駅」から「一刻魁堂　清須店」まで 徒歩6分,62件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%b8%85%e6%b4%b2%e9%a7%85+%e3%80%92492-8173&destination=35.2245059980067,136.839997967438&travelmode=walking",一刻魁堂　清須店は、いつもはお昼時に行こうとすると、行列ができている事もありますが、今回は13時過ぎに訪問しましたので、スムーズに入れました。やっぱり、こってりラーメンとカラアゲが外せません。…,216枚,23本,名古屋第二環状自動車道「清洲東IC」から「一刻魁堂　清須店」まで 1.3km,７００円から１０００円,"1,605件",一刻魁堂 46店舗,"3,831枚",365本,一刻魁堂　清須店,１１時から２４時,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%B8%85%E9%A0%88%E5%B8%82%E4%B8%80%E5%A0%B4%E5%BE%A1%E5%9C%92%EF%BC%97%EF%BC%98%EF%BC%94%EF%BC%8D%EF%BC%92,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県清須市一場御園７８４−２</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県清須市一場御園７８４−</converted>
<candidate>
<address>愛知県/清須市/一場/御園/７８４番地</address>
<longitude>136.840576</longitude>
<latitude>35.223282</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.223282,136.840576, 愛知県清須市一場御園７８４－２,不明
麺場　田所商店　春日井店,https://www.cookdoor.jp/dtl/75000000000000055270/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/7/2/75000000000000055270/0000034151/75000000000000055270_0000034151_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/7/2/75000000000000055270/0000001368/75000000000000055270_0000001368_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/7/2/75000000000000055270/0000001368/75000000000000055270_0000001368_3_s.jpg,〒486-0856 愛知県春日井市梅ケ坪町１１３－１,ＪＲ中央本線「春日井駅」から「麺場　田所商店　春日…」まで 徒歩18分,89件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e6%98%a5%e6%97%a5%e4%ba%95%e9%a7%85+%e3%80%92486-0833&destination=35.2548101664581,136.977958725624&travelmode=walking","愛知県春日井市にある味噌ラーメン専門店です。
国道19線沿いにあります。
色々な地域の味噌を使っていて様々な地域の味を楽しめます。
北海道の味噌、信州の味噌、九州の味噌等…
自分好みを見つけるとハマります！
私のお気に入りは、北海道味噌バターラーメンにチャーシュートッピングです！…",223枚,13本,東名高速道路「春日井IC」から「麺場　田所商店　春日…」まで 2.3km,８００円〜,,,,,麺場　田所商店　春日井店,"月〜金・日祝　11:00〜22:30（LO 22:00）
土・祝前日　　11:00〜23:30（LO 23:00)",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%98%A5%E6%97%A5%E4%BA%95%E5%B8%82%E6%A2%85%E3%82%B1%E5%9D%AA%E7%94%BA%EF%BC%91%EF%BC%91%EF%BC%93%EF%BC%8D%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県春日井市梅ケ坪町１１３−１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県春日井市梅ケ坪町１１３−</converted>
<candidate>
<address>愛知県/春日井市/梅ケ坪町/１１３番地</address>
<longitude>136.978012</longitude>
<latitude>35.254677</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.254677,136.978012, 愛知県春日井市梅ケ坪町１１３－１,味噌ラーメン
塩らーめん嵐家下中野店,https://www.cookdoor.jp/dtl/1060563026/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/2/0/1060563026/0000000610/1060563026_0000000610_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/2/0/1060563026/0000064014/1060563026_0000064014_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/2/0/1060563026/0000000610/1060563026_0000000610_4_s.jpg,〒700-0973 岡山県岡山市北区下中野６７０,ＪＲ宇野線「備前西市駅」から「塩らーめん嵐家下中野店」まで 徒歩8分,208件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%82%99%e5%89%8d%e8%a5%bf%e5%b8%82%e9%a7%85+%e3%80%92700-0953&destination=34.636947209841,133.899875863748&travelmode=walking",塩ラーメンの専門店、塩らーめん嵐家さん。ヘルシーなラーメンが食べたい時はここがおすすめです！鶏がらスープにストレート細麺が絡み、シャキシャキのキャベツや白ネギがたっぷりと入っています。あっさりなのに食べ応え満点です。…,195枚,29本,山陽自動車道「岡山IC」から「塩らーめん嵐家下中野店」まで 7km,昼　〜￥999、　夜　〜￥999,,,,,塩らーめん嵐家下中野店,"平日　11：00〜16：00、18：00〜22：00（OS　21：30）
土・日・祝　11：00〜22：00（OS　21：30）",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E4%B8%8B%E4%B8%AD%E9%87%8E%EF%BC%96%EF%BC%97%EF%BC%90,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岡山県岡山市北区下中野６７０</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岡山県岡山市北区下中野６７０</converted>
<candidate>
<address>岡山/岡山市/北区/下中野/６７０番地</address>
<longitude>133.899857</longitude>
<latitude>34.636986</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.636986,133.899857, 岡山県岡山市北区下中野６７０,塩ラーメン
とんこつラーメンラの壱一宮店,https://www.cookdoor.jp/dtl/60000000000000000966/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/6/9/60000000000000000966/0000071837/60000000000000000966_0000071837_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/6/9/60000000000000000966/0000071837/60000000000000000966_0000071837_6_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/6/9/60000000000000000966/0000000339/60000000000000000966_0000000339_3_s.jpg,〒491-0024 愛知県一宮市富士3-1-2,ＪＲ東海道本線「尾張一宮駅」から「とんこつラーメンラの…」まで 徒歩23分,113件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%b0%be%e5%bc%b5%e4%b8%80%e5%ae%ae%e9%a7%85+%e3%80%92491-0858&destination=35.3023181323147,136.818461173053&travelmode=walking",とんこつラーメンラの壱一宮店となります。〒491-0024 愛知県一宮市富士３丁目１－２に位置します。店名の通りとんこつラーメンがオススメのお店ですが、味噌、醤油などもあります。美味しいです。…,223枚,10本,名古屋高速16号一宮線「一宮中IC」から「とんこつラーメンラの…」まで 590m,７００円,,,,,とんこつラーメンラの壱一宮店,11：00〜翌1：00(L.O.0:30),http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E4%B8%80%E5%AE%AE%E5%B8%82%E5%AF%8C%E5%A3%AB3-1-2,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県一宮市富士3-1-2</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県一宮市富士3-1-2</converted>
<candidate>
<address>愛知県/一宮市/富士/三丁目/１番/２号</address>
<longitude>136.818130</longitude>
<latitude>35.302460</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",35.30246,136.81813, 愛知県一宮市富士3-1-2,豚骨ラーメン
