タイトル,タイトルリンク,gallery_area,thumb,thumb1,address,fa_address_access_inner,口コミ,btn_map,js_cm_readmore,写真,動画,fa_address_access_inner1,budget,all_count_num,link_arw01,all_count_num1,all_count_num2,詳細タイトル,フィールド1,フィールド2,住所,,,緯度,経度
如水,https://www.cookdoor.jp/dtl/60000000000000000509/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/0/5/60000000000000000509/0000073802/60000000000000000509_0000073802_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/0/5/60000000000000000509/0000000660/60000000000000000509_0000000660_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/0/5/60000000000000000509/0000000660/60000000000000000509_0000000660_5_s.jpg,〒461-0023 愛知県名古屋市東区徳川町201,名古屋市営地下鉄桜通線「車道駅」から「如水」まで 徒歩13分,183件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e8%bb%8a%e9%81%93%e9%a7%85+%e3%80%92461-0004&destination=35.1830691954348,136.928340038739&travelmode=walking","名古屋市営バスの山口町バス停から近い、大通り沿いにあります。
休日になると多くの人が並んでいる人気店になります。つけ麺やまぜそばもあり、メニューも多い、とにかく一度は食べてみて下さい。美味しさに感動を覚えるほどでした。…",278枚,24本,,７５０円,,,,,如水,"11：30〜14：30
18：00〜24：00",〒461-0023, 愛知県名古屋市東区徳川町201,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%9D%B1%E5%8C%BA%E5%BE%B3%E5%B7%9D%E7%94%BA201,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市東区徳川町201</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市東区徳川町201</converted>
<candidate>
<address>愛知県/名古屋市/東区/徳川町/２０１番地</address>
<longitude>136.928619</longitude>
<latitude>35.183037</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.183037,136.928619
丸源ラーメン　岩倉店,https://www.cookdoor.jp/dtl/60000000000000006511/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/1/5/60000000000000006511/0000016855/60000000000000006511_0000016855_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/1/5/60000000000000006511/0000001368/60000000000000006511_0000001368_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/1/5/60000000000000006511/0000016855/60000000000000006511_0000016855_6_s.jpg,〒482-0015 愛知県岩倉市川井町折口67番地,名鉄犬山線「大山寺駅」から「丸源ラーメン　岩倉店」まで 徒歩11分,108件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%a4%a7%e5%b1%b1%e5%af%ba%e9%a7%85+%e3%80%92482-0014&destination=35.2672013304742,136.866031894918&travelmode=walking","友人達と旅行で愛知県までやって来ました。目的だった名古屋城を一通り見ることができて旅行も終盤の帰り道に、安定して美味しいところで食べたいと一緒に行った友人達と話していたところ丸源ラーメン岩倉店が見えて来たので寄ってきました。
地元でも毎週のように食べていた丸源ラーメンが1番安心なんです。いつどこの店舗に行っても人気のラーメン店なので、相変わらず混んでいて、少し待ってからの入店でした。
早速、注文しようと思ったんですが、メニューが豊富で迷ってしまいます。
熟成醤油の肉そばの種類が豊富で、熟成醤油肉そば、肉そば肉ダブル、熟成醤油味玉肉そば、熟成醤油味玉肉そば肉ダブル、熟成醤油辛肉そば、熟成醤油辛肉そば味玉入り、熟成醤油肉そばねぎ肉そば、熟成醤油肉そばねぎ肉そば味玉入り、熟成醤油肉そば野菜肉そば、熟成醤油肉そば野菜肉そば味玉入り、種類が多くて迷います。とんこつやラーメンもあります。熟成醤油黒とんこつ、熟成醤油とんこつドッカンねぎ、熟成醤油とんこつチャーシュー麺、熟成醤油白とんこつ、熟成醤油とんこつドッカンねぎ、熟成醤油とんこつチャーシュー麺、熟成醤油赤とんこつ、熟成醤油赤とんこつドッカンねぎ、熟成醤油とんこつチャーシュー麺、熟成醤油ラーメン、熟成醤油ねぎ醤油ラーメン、熟成醤油チャーシュー麺があります。さらに、坦々麺も2種類あって、麻辣坦々麺、白胡麻坦々麺、そして、柚子ねぎ塩ラーメン、磯海苔塩ラーメン、熟成味噌ラーメン、辛ねぎ味噌ラーメンと、どれにしようか迷ってしまいます。さらにトッピングも豊富なんですが、中でも無料で付けられる特製野沢菜醤がピリ辛ですごく美味しいです。どの麺に入れても合いますね。
今回私は秋の期間限定メニューの丸源熟成醤油五目そばの大盛りと人気のチャーハンセットを注文して食べました。食べ応えも十分で、途中から特製野沢菜醤を入れて味変を味わいました。旅行中も大盛り上がりした一緒に行った友人は辛いのが好きなので熟成醤油醤油とんこつ赤を食べて汗をかきながら旅の思い出をを噛み締めていました。最高に美味しかったので、是非皆さんも食べてみて下さい。…",280枚,29本,東名高速道路「一宮IC」から「丸源ラーメン　岩倉店」まで 3.3km,昼：〜￥999,"7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　岩倉店,"平日　
11:30〜翌1:00
土日　
11:30〜翌1:00",〒482-0015, 愛知県岩倉市川井町折口67番地,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%B2%A9%E5%80%89%E5%B8%82%E5%B7%9D%E4%BA%95%E7%94%BA%E6%8A%98%E5%8F%A367%E7%95%AA%E5%9C%B0,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県岩倉市川井町折口67番地</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県岩倉市川井町折口67番地</converted>
<candidate>
<address>愛知県/岩倉市/川井町/折口/６７番地</address>
<longitude>136.866669</longitude>
<latitude>35.266991</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.266991,136.866669
彩華ラーメン　本店,https://www.cookdoor.jp/dtl/60000000000000009629/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/2/6/60000000000000009629/0000028991/60000000000000009629_0000028991_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/2/6/60000000000000009629/0000034436/60000000000000009629_0000034436_3_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/9/2/6/60000000000000009629/0000053305/60000000000000009629_0000053305_4_s.jpg,〒632-0076 奈良県天理市岩室町９１番地,近鉄天理線「前栽駅」から「彩華ラーメン　本店」まで 徒歩10分,156件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%89%8d%e6%a0%bd%e9%a7%85+%e3%80%92632-0078&destination=34.595476980243,135.811461517864&travelmode=walking",奈良市天理市にある彩華ラーメン本店さんです。近鉄前裁駅から徒歩で15分程度のところにあります。会社からも近く何度か行っているラーメン屋さんです。店舗はとても新しく綺麗に保たれており、とても良い感じになっています。店内はとても広くカウンター席、テーブル席、座敷とかなりの席数が用意されています。駐車場はとても広く確保されています。営業時間は11：00〜24：00です。遅くまで開いているので仕事帰りでも立ち寄れるので便利です。元々は屋台のラーメン屋さんからスタートされており、天理でも根強い人気のお店です。ファンも多いようで、何度も訪れているようです。席数が多いのですが、それでもお昼時は混雑しています。入店すると元気に店員さんが案内してくれました。定番のサイカラーメンの他醤油ラーメン、味噌ラーメン、塩ラーメンがありました。タブレットで注文するとそれ程待たずに到着。味自体しっかりしており白菜の歯ごたえも適度にあり、ニンニクもよく効いており旨味を引き立ててくれていてとても美味しかったです。麺の硬さも程よく九条ネギが良い風味を出していました。チャーシューも柔らかく、クセになる美味しさでパンチの効いたスープまで全部飲み干せました。一緒に行った同僚も同じものを注文しており、とても食べ応えある内容となっていて少し多いと言っていました。ただボリュームあるだけでは無く、味はピリ辛で美味しいと言って汗かきながら完食していました。初めて見ると見た目のインパクトが強烈で目に焼きついてしまいました。次はメニューを見ていてとても美味しそうだった唐揚げも追加して楽しんでみたいです。隣の方が頼んでいたチャーハンもとても美味しそうに見えたので、次回はセットにしてみようと思います。ついつい食べきれないくらい頼んでしまいそうです。店員さんの元気良い対応もいつもながら気持ち良いし、好感が持てます。いつ行っても元気をもらえます。…,282枚,19本,西名阪自動車道「郡山IC」から「彩華ラーメン　本店」まで 2.2km,¥800,,,,,彩華ラーメン　本店,11:00〜03:00,〒632-0076, 奈良県天理市岩室町９１番地,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%A5%88%E8%89%AF%E7%9C%8C%E5%A4%A9%E7%90%86%E5%B8%82%E5%B2%A9%E5%AE%A4%E7%94%BA%EF%BC%99%EF%BC%91%E7%95%AA%E5%9C%B0,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 奈良県天理市岩室町９１番地</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 奈良県天理市岩室町９１番地</converted>
<candidate>
<address>奈良県/天理市/岩室町/９１番地</address>
<longitude>135.811462</longitude>
<latitude>34.595329</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.595329,135.811462
一蘭　名古屋栄店,https://www.cookdoor.jp/dtl/60000000000000000810/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/1/8/60000000000000000810/0000069958/60000000000000000810_0000069958_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/1/8/60000000000000000810/0000019198/60000000000000000810_0000019198_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/1/8/60000000000000000810/0000069958/60000000000000000810_0000069958_3_s.jpg,〒460-0008 愛知県名古屋市中区栄３－１２－１６,名古屋市営地下鉄名城線「矢場町駅」から「一蘭　名古屋栄店」まで 徒歩6分,254件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e7%9f%a2%e5%a0%b4%e7%94%ba%e9%a7%85+%e3%80%92460-0008&destination=35.1659983777677,136.904217828122&travelmode=walking","一蘭の「名古屋栄店」さんになります。
やはり美味いです。臭みの無い豚骨スープが上品でありいつも完飲しています。完飲しても他のラーメンとは違いトランス脂肪酸がないため体に優しいです。
最近チャーシューが前より厚くなった気がします。
是非ご賞味ください。…",262枚,19本,名古屋高速2号東山線「白川IC」から「一蘭　名古屋栄店」まで 920m,８００円,"5,193件",一蘭 58店舗,"5,587枚",548本,一蘭　名古屋栄店,11：00〜25：00,〒460-0008, 愛知県名古屋市中区栄３－１２－１６,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%84%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%92%EF%BC%8D%EF%BC%91%EF%BC%96,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市中区栄３−１２−１６</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市中区栄３−１２−１６</converted>
<candidate>
<address>愛知県/名古屋市/中区/栄/三丁目/１２番/１６号</address>
<longitude>136.904663</longitude>
<latitude>35.166016</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",35.166016,136.904663
麺場　田所商店　岡山庭瀬店,https://www.cookdoor.jp/dtl/75000000000000096144/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/4/1/75000000000000096144/0000075233/75000000000000096144_0000075233_4_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/4/1/75000000000000096144/0000070038/75000000000000096144_0000070038_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/4/1/75000000000000096144/0000001121/75000000000000096144_0000001121_7_s.jpg,〒701-0153 岡山県岡山市北区庭瀬５２２－１,ＪＲ伯備線「庭瀬駅」から「麺場　田所商店　岡山…」まで 徒歩9分,82件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%ba%ad%e7%80%ac%e9%a7%85+%e3%80%92701-0151&destination=34.6459528256267,133.847150661182&travelmode=walking","味噌ラーメン専門店の田所商店は北海道味噌、伊勢味噌、九州味噌をメインとした3種に加え、期間限定でご当地味噌ラーメンが食べれるお店となっております。
またこだわり抜かれたチャーシューが美味しく、チャーシューだけ持ち帰る方も多く酒のつまみ、おかずとしてお米に合うのはもちろんのこと味噌との相性抜群のためチャーシュー麺を食べられることをお勧めします。…",256枚,40本,山陽自動車道（早島支線）「早島IC」から「麺場　田所商店　岡山…」まで 5.7km,,,,,,麺場　田所商店　岡山庭瀬店,,〒701-0153, 岡山県岡山市北区庭瀬５２２－１,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E5%BA%AD%E7%80%AC%EF%BC%95%EF%BC%92%EF%BC%92%EF%BC%8D%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岡山県岡山市北区庭瀬５２２−１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岡山県岡山市北区庭瀬５２２−</converted>
<candidate>
<address>岡山県/岡山市/北区/庭瀬/５２２番地</address>
<longitude>133.848907</longitude>
<latitude>34.646606</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.646606,133.848907
虎ぼるた,https://www.cookdoor.jp/dtl/75000000000000006856/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/5/8/75000000000000006856/0000037275/75000000000000006856_0000037275_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/5/8/75000000000000006856/0000076433/75000000000000006856_0000076433_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/5/8/75000000000000006856/0000071282/75000000000000006856_0000071282_1_s.jpg,〒700-0951 岡山県岡山市北区田中１１１－１０７,ＪＲ伯備線「北長瀬駅」から「虎ぼるた」まで 徒歩14分,179件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%8c%97%e9%95%b7%e7%80%ac%e9%a7%85+%e3%80%92700-0962&destination=34.6431262712415,133.883978566145&travelmode=walking","ここは汁無し担々麺のお店です。
先日初めて来ましたが、とても美味しかったです。
会社の同僚に勧められてきたのですが、僕の勤め先ではとても有名みたいで、皆がおすすめしてくるから来てみました。
私が頼んだのは、普通の汁なし担々麺に温泉卵を乗せたものです。
まず純正がどんな感じなんだろうと思い、頼んでみました。
まず汁がないので、最初に結構混ぜる必要があるのですが、混ぜれば混ぜるほど美味しくなるらしいです。
少し山椒のピリッと感がありつつも、担々麺の旨みと上手にバランスが取れており、シンプルに美味しいなと感じました。
私は大盛りで頼んだので、普通に1人前だったら、温泉卵がもっと絡んで美味しく感じたのかもと思いました。
バリエーションも豊富なようで、豚カツ乗せたり、唐揚げ乗せたりできるみたいで、なんか学食を思い出させてくれる内容もあったので、次はトンカツ乗せを絶対食べたいと、リピート確定にさせてくれる内容でした。
あとパーコー担々麺もメニューにあったので、とても気になっています。
何回か通って制覇していきたいメニューだったので、しばらく通う事になりそうです。
駐車場も10台くらいは停めれるようになっていたので、車での来店も大丈夫ですが、席数から考えたら、時間帯によっては停めれない状態になると思いますので、調整できる方は、お昼の時間をズラしてこられるのが良いかもしれません。
お店自体は15:00までやっているみたいです。
あと担々麺ではないですが、デミカツ丼もあるみたいで、人気ナンバー３になっていましたから、期待値高いです。
これも食べてみたいと思います。
ちなみに人気No.１は鶏唐揚げセットみたいで、担々麺の代金プラス400円でつけれるみたいです。
最初はこれ食べようかと思いましたが、ダイエット中なので、担々麺だけにしました。
結局大盛りにしちゃいましたけど。
美味しそうなのが多いので、食事量の調整は不可能だと思いますので、是非唐揚げセットも食べてみてください。…",240枚,37本,山陽自動車道「岡山IC」から「虎ぼるた」まで 6.3km,"昼　〜￥999
夜　〜￥999",,,,,虎ぼるた,"ランチ　11：00〜15：00
ディナー18：00〜22：00（OS　21：30）
ランチ営業、日曜営業",〒700-0951, 岡山県岡山市北区田中１１１－１０７,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%E7%94%B0%E4%B8%AD%EF%BC%91%EF%BC%91%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%90%EF%BC%97,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 岡山県岡山市北区田中１１１−１０７</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 岡山県岡山市北区田中１１１−</converted>
<candidate>
<address>岡山県/岡山市/北区/田中/１１１番地</address>
<longitude>133.878922</longitude>
<latitude>34.643574</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.643574,133.878922
丸源ラーメン　名東香流店,https://www.cookdoor.jp/dtl/60000000000000009305/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/3/60000000000000009305/0000000418/60000000000000009305_0000000418_8_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/3/60000000000000009305/0000000418/60000000000000009305_0000000418_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/3/60000000000000009305/0000058058/60000000000000009305_0000058058_3_s.jpg,〒465-0005 愛知県名古屋市名東区香流3丁目611,名古屋市営地下鉄東山線「上社駅」から「丸源ラーメン　名東香…」まで 徒歩20分,133件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b8%8a%e7%a4%be%e9%a7%85+%e3%80%92465-0025&destination=35.1867625555092,137.000195290047&travelmode=walking","名古屋市名東区香流の302号の香南交差点近くにあります。駐車場も広く完備されています。
24時まで営業しているので、遅い時間の食事に利用できます。店内も清潔感があり、なんと言ってもラーメンは絶品です。ふっと丸源ラーメンが食べたい時が定期的にあります(笑)

…",258枚,23本,名古屋第二環状自動車道「引山IC」から「丸源ラーメン　名東香…」まで 150m,"昼８００円
夜１３００円","7,258件",丸源ラーメン 161店舗,"15,649枚","1,510本",丸源ラーメン　名東香流店,１１時３０分から２５時まで,〒465-0005, 愛知県名古屋市名東区香流3丁目611,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%90%8D%E6%9D%B1%E5%8C%BA%E9%A6%99%E6%B5%813%E4%B8%81%E7%9B%AE611,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市名東区香流3丁目611</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市名東区香流3丁目611</converted>
<candidate>
<address>愛知県/名古屋市/名東区/香流/三丁目/６１１番地</address>
<longitude>137.000229</longitude>
<latitude>35.187187</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.187187,137.000229
ラーメン横綱　安城店,https://www.cookdoor.jp/dtl/60000000000000018283/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/8/2/60000000000000018283/0000058058/60000000000000018283_0000058058_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/8/2/60000000000000018283/0000003964/60000000000000018283_0000003964_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/8/2/60000000000000018283/0000058058/60000000000000018283_0000058058_8_s.jpg,〒446-0004 愛知県安城市尾崎町西勘定20-1,名鉄名古屋本線「宇頭駅」から「ラーメン横綱　安城店」まで 徒歩6分,150件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%ae%87%e9%a0%ad%e9%a7%85+%e3%80%92444-0905&destination=34.9759188151155,137.117039739335&travelmode=walking",国道1号線沿いにあるラーメン横綱安城店に昼ご飯を食べに行ってきました。人気店なのでお客様も多く、お店にも活気がありとても雰囲気が良かったです。ラーメンも勿論美味しくてついつい替え玉をしてしまいました。…,253枚,22本,伊勢湾岸自動車道「豊田南IC」から「ラーメン横綱　安城店」まで 6.4km,７００円,,,,,ラーメン横綱　安城店,11：00〜29：00,〒446-0004, 愛知県安城市尾崎町西勘定20-1,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%AE%89%E5%9F%8E%E5%B8%82%E5%B0%BE%E5%B4%8E%E7%94%BA%E8%A5%BF%E5%8B%98%E5%AE%9A20-1,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県安城市尾崎町西勘定20-1</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県安城市尾崎町西勘定20-</converted>
<candidate>
<address>愛知県/安城市/尾崎町/西勘定/２０番地</address>
<longitude>137.116791</longitude>
<latitude>34.976051</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.976051,137.116791
徳川町如水　西春店,https://www.cookdoor.jp/dtl/60000000000000000211/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/1/2/60000000000000000211/0000003065/60000000000000000211_0000003065_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/1/2/60000000000000000211/0000072344/60000000000000000211_0000072344_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/1/2/60000000000000000211/0000027978/60000000000000000211_0000027978_4_s.jpg,〒481-0035 愛知県北名古屋市宇福寺,東名高速道路「一宮IC」から「徳川町如水　西春店」まで 2.6km,106件,,"徳川町如水 西春店は、愛知県北名古屋市宇福寺に位置する人気ラーメン店で、
特に塩ラーメンが有名ですが、私がよくいただくのは「担々麺」と「香そば」です。
どちらも個性的で、何度でも食べたくなる味わいです。
まず、「担々麺」ですが、スープの深いコクとピリッとした辛味のバランスが
絶妙です。辛さが際立ちつつも、ゴマの香ばしい風味が加わり、
まろやかさとコクをしっかり楽しめる一杯です。
極細麺がスープによく絡み、最後まで飽きることなく味わえます。
また、具材のひき肉とシャキシャキの野菜がスープにさらなる旨味を加え、
全体的に完成度の高い一品です。辛いものが好きな方には特におすすめしたい一杯です。
また、個人的に気になって試してみましたが、「担々麺」でチャーシューを頼むと
別皿にチャーシューが提供されるため、別々となります。
一方で、「香そば」は、シンプルな見た目ながらも非常に奥深い味わいがあります。
スープににんにくの香油が加えられており、一口すすった瞬間にふわっと広がる香りがたまりません。
醤油ベースのスープはあっさりしていながらもコクがあり、
何度でも食べたくなる飽きのこない味わいです。
細麺との相性も抜群で、スープを余すことなく堪能できます。
また、トッピングのチャーシューも柔らかく、
噛むたびに口の中で旨味が広がります。
基本的な「塩ラーメン」と「香そば」の違いは”ネギ”と”にんにく”が加えられているか
の違いとなり、強い香りが好きな人にはピッタリです。
このお店の魅力は、ラーメンの味だけではありません。
化学調味料を一切使用せず、30種類以上の素材を使ったこだわりのスープは、
体にも優しいのが嬉しいポイントです。
また、店内は木の温もりを感じられるおしゃれな空間で、
店員さんの元気で丁寧な接客も気持ちが良く、居心地の良さを感じます。
駐車場が完備されているため、車でのアクセスも便利です。
ランチタイムは特に混雑しますが、回転が速いため、
それほど長く待たされることはありません。
見た目上座っている人数が多いですが、その影響か来ても帰ってしまう人が多いため、
行列の切れ目もできやすいです。
担々麺や香そばの他にも塩ラーメンや台湾ラーメン、つけ麺、まぜそばなど
サイドメニューのご飯ものも豊富でどれを注文するか迷ってしまうほど。
ぜひ一度足を運んでみてください！…",256枚,23本,,昼：〜999円　夜：〜999円,,,,,徳川町如水　西春店,"11：00〜14：30
18：00〜24：00",〒481-0035, 愛知県北名古屋市宇福寺,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%8C%97%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%AE%87%E7%A6%8F%E5%AF%BA,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県北名古屋市宇福寺</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県北名古屋市宇福寺</converted>
<candidate>
<address>愛知県/北名古屋市/宇福寺</address>
<longitude>136.847260</longitude>
<latitude>35.251251</latitude>
<iLvl>5</iLvl>
</candidate>
</results>
",35.251251,136.84726
ラー麺ずんどう屋　高槻店,https://www.cookdoor.jp/dtl/00000000000080137663/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/6/00000000000080137663/0000030266/00000000000080137663_0000030266_8_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/6/00000000000080137663/0000076880/00000000000080137663_0000076880_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/6/00000000000080137663/0000074782/00000000000080137663_0000074782_2_s.jpg,〒569-0091 大阪府高槻市梶原４丁目４－１,阪急京都本線「上牧駅」から「ラー麺ずんどう屋　高…」まで 徒歩12分,74件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b8%8a%e7%89%a7%e9%a7%85+%e3%80%92569-0007&destination=34.865000716522,135.656138951015&travelmode=walking","有名なラーメンチェーンのお店です。
ラーメンはもちろん食べ放題の高菜が絶品です。
結構辛めですがラーメンにトッピングしても美味しいですし、自分はライスを注文しお漬物感覚でたくさん食べてしまいます。…",261枚,19本,名神高速道路「大山崎IC」から「ラー麺ずんどう屋　高…」まで 5.5km,,,,,,ラー麺ずんどう屋　高槻店,,〒569-0091, 大阪府高槻市梶原４丁目４－１,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E9%AB%98%E6%A7%BB%E5%B8%82%E6%A2%B6%E5%8E%9F%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%94%EF%BC%8D%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 大阪府高槻市梶原４丁目４−１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 大阪府高槻市梶原４丁目４−</converted>
<candidate>
<address>大阪府/高槻市/梶原/四丁目/４番</address>
<longitude>135.656387</longitude>
<latitude>34.864941</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.864941,135.656387
